##Temp./>C,Time/min,Mass/%,Segment
 50.23200,  1.92000, 99.53333,1
 50.27600,  1.93000, 99.53333,1
 50.31800,  1.94000, 99.53333,1
 50.34900,  1.95000, 99.53333,1
 50.38500,  1.96000, 99.53333,1
 50.42800,  1.97000, 99.53333,1
 50.46400,  1.98000, 99.53333,1
 50.49800,  1.99000, 99.53333,1
 50.53300,  2.00000, 99.51429,1
 50.57900,  2.01000, 99.51429,1
 50.61300,  2.02000, 99.51429,1
 50.64800,  2.03000, 99.51429,1
 50.68300,  2.04000, 99.49524,1
 50.72100,  2.05000, 99.49524,1
 50.75300,  2.06000, 99.51429,1
 50.78400,  2.07000, 99.50476,1
 50.82900,  2.08000, 99.50476,1
 50.88400,  2.09000, 99.50476,1
 50.90100,  2.10000, 99.49524,1
 50.94800,  2.11000, 99.50476,1
 50.98200,  2.12000, 99.50476,1
 51.01200,  2.13000, 99.49524,1
 51.04700,  2.14000, 99.49524,1
 51.09600,  2.15000, 99.49524,1
 51.13200,  2.16000, 99.48571,1
 51.16400,  2.17000, 99.48571,1
 51.20000,  2.18000, 99.48571,1
 51.24000,  2.19000, 99.46667,1
 51.28700,  2.20000, 99.46667,1
 51.32700,  2.21000, 99.46667,1
 51.35500,  2.22000, 99.46667,1
 51.39500,  2.23000, 99.46667,1
 51.44800,  2.24000, 99.46667,1
 51.46900,  2.25000, 99.47619,1
 51.50000,  2.26000, 99.45714,1
 51.54700,  2.27000, 99.45714,1
 51.58800,  2.28000, 99.45714,1
 51.60900,  2.29000, 99.45714,1
 51.67300,  2.30000, 99.45714,1
 51.69700,  2.31000, 99.45714,1
 51.73700,  2.32000, 99.45714,1
 51.77300,  2.33000, 99.43810,1
 51.81600,  2.34000, 99.43810,1
 51.85800,  2.35000, 99.43810,1
 51.89600,  2.36000, 99.43810,1
 51.93800,  2.37000, 99.42857,1
 51.97400,  2.38000, 99.42857,1
 52.00000,  2.39000, 99.42857,1
 52.02800,  2.40000, 99.41905,1
 52.08800,  2.41000, 99.41905,1
 52.12700,  2.42000, 99.41905,1
 52.16500,  2.43000, 99.41905,1
 52.20000,  2.44000, 99.41905,1
 52.24200,  2.45000, 99.40952,1
 52.28400,  2.46000, 99.40952,1
 52.31700,  2.47000, 99.40952,1
 52.35900,  2.48000, 99.40952,1
 52.40900,  2.49000, 99.40952,1
 52.44700,  2.50000, 99.40000,1
 52.48100,  2.51000, 99.40000,1
 52.53400,  2.52000, 99.40000,1
 52.57600,  2.53000, 99.40000,1
 52.61600,  2.54000, 99.40000,1
 52.64800,  2.55000, 99.40000,1
 52.68900,  2.56000, 99.39048,1
 52.72500,  2.57000, 99.39048,1
 52.78300,  2.58000, 99.39048,1
 52.81200,  2.59000, 99.38095,1
 52.86100,  2.60000, 99.38095,1
 52.89500,  2.61000, 99.38095,1
 52.94800,  2.62000, 99.38095,1
 52.98800,  2.63000, 99.38095,1
 53.02300,  2.64000, 99.36190,1
 53.06400,  2.65000, 99.36190,1
 53.10900,  2.66000, 99.36190,1
 53.14600,  2.67000, 99.34286,1
 53.18900,  2.68000, 99.34286,1
 53.23100,  2.69000, 99.34286,1
 53.28000,  2.70000, 99.34286,1
 53.31200,  2.71000, 99.34286,1
 53.35700,  2.72000, 99.34286,1
 53.40100,  2.73000, 99.34286,1
 53.45700,  2.74000, 99.32381,1
 53.49900,  2.75000, 99.32381,1
 53.52700,  2.76000, 99.32381,1
 53.57100,  2.77000, 99.31429,1
 53.61700,  2.78000, 99.31429,1
 53.67200,  2.79000, 99.31429,1
 53.71300,  2.80000, 99.31429,1
 53.75000,  2.81000, 99.31429,1
 53.81200,  2.82000, 99.31429,1
 53.85200,  2.83000, 99.31429,1
 53.88900,  2.84000, 99.29524,1
 53.93100,  2.85000, 99.29524,1
 53.98400,  2.86000, 99.28571,1
 54.01700,  2.87000, 99.28571,1
 54.06600,  2.88000, 99.27619,1
 54.11600,  2.89000, 99.27619,1
 54.15200,  2.90000, 99.27619,1
 54.20100,  2.91000, 99.27619,1
 54.24300,  2.92000, 99.27619,1
 54.29100,  2.93000, 99.27619,1
 54.34000,  2.94000, 99.26667,1
 54.37700,  2.95000, 99.25714,1
 54.44000,  2.96000, 99.25714,1
 54.48300,  2.97000, 99.25714,1
 54.51500,  2.98000, 99.24762,1
 54.56400,  2.99000, 99.24762,1
 54.61700,  3.00000, 99.24762,1
 54.66600,  3.01000, 99.24762,1
 54.70000,  3.02000, 99.22857,1
 54.75100,  3.03000, 99.22857,1
 54.80100,  3.04000, 99.22857,1
 54.85600,  3.05000, 99.22857,1
 54.89200,  3.06000, 99.22857,1
 54.94100,  3.07000, 99.21905,1
 54.98800,  3.08000, 99.21905,1
 55.02700,  3.09000, 99.21905,1
 55.09100,  3.10000, 99.21905,1
 55.13100,  3.11000, 99.21905,1
